148,AY-124,Rhus radicans
149,AY-124,Rosa multiflora 
150,AY-124,Trifolium pratense 
2823,AY-124,Quercus macrocarpa
3847,AY-124,NONE
151,AY-127,Agostis alba 
152,AY-127,Aster species
153,AY-127,Parthenocissus quinquefolia
154,AY-127,Phalaris arundinacea
155,AY-127,Poa pratensis 
2824,AY-127,Lonicera maackii
3848,AY-127,Ostrya virginiana
3849,AY-127,Ostrya virginiana
3850,AY-127,Ostrya virginiana
3851,AY-127,Ostrya virginiana
3852,AY-127,Ostrya virginiana
3853,AY-127,Ostrya virginiana
3854,AY-127,Ostrya virginiana
3855,AY-127,Ostrya virginiana
3856,AY-127,Ostrya virginiana
3857,AY-127,Rhamnus cathartica
124,AY-130,Parthenocissus quinquefolia
2818,AY-130,Lonicera maackii
2819,AY-130,Rhamnus cathartica
3832,AY-130,Rhamnus cathartica
3833,AY-130,Rhamnus cathartica
3834,AY-130,Rhamnus cathartica
3835,AY-130,Tilia americana
3836,AY-130,Tilia americana
3837,AY-130,Tilia americana
3838,AY-130,Tilia americana
3839,AY-130,Tilia americana
3840,AY-130,Tilia americana
3841,AY-130,Tilia americana
3842,AY-130,Tilia americana
3843,AY-130,Tilia americana
156,AZ -138,Aster sagittifolius
157,AZ -138,Bromus inermis 
158,AZ -138,Convolvulus arvensis
159,AZ -138,Coronilla varia 
160,AZ -138,Rosa carolina
164,AZ-133,Arisaema triphyllum
165,AZ-133,Lonicera maackii
166,AZ-133,Rhamnus cathartica
167,AZ-133,Smilacina racemosa
168,AZ-133,Ulmus rubra
2826,AZ-133,Rhamnus cathartica
3859,AZ-133,Fraxinus americana
3860,AZ-133,Fraxinus americana
3861,AZ-133,Fraxinus americana
3862,AZ-133,Gymnocladus dioica
3863,AZ-133,Gymnocladus dioica
3864,AZ-133,Gymnocladus dioica
3865,AZ-133,Gymnocladus dioica
3866,AZ-133,Ulmus rubra
3867,AZ-133,Unidentified species
2827,AZ-138,NONE
3868,AZ-138,NONE
169,B-109,Achillea millefolium 
170,B-109,Cirsium arvense
171,B-109,Parthenocissus quinquefolia
172,B-109,Poa pratensis
2828,B-109,Lonicera tatarica
3869,B-109,NONE
173,B-115,Convolvulus sepium
174,B-115,Parthenocissus quinquefolia
175,B-115,Poa pratensis 
176,B-115,Rhus radicans
177,B-115,Rhus typhina
178,B-115,Rosa multiflora 
2829,B-115,Lonicera tatarica
2830,B-115,Rhamnus cathartica
2831,B-115,Rosa multiflora
3870,B-115,NONE
179,B-127,Arisaema triphyllum
180,B-127,Aster sagittifolius drummondii
181,B-127,Circaea lutetiana canadensis
182,B-127,Galium triflorum
183,B-127,Impatiens pallida
184,B-127,Ostrya virginiana
185,B-127,Potentilla norvegica
186,B-127,Rhus radicans
187,B-127,Smilacina racemosa
188,B-127,Solidago flexicaulis
189,B-127,Thalictrum dioicum
2832,B-127,Rubus occidentalis
3871,B-127,Acer nigrum
3872,B-127,Acer nigrum
3873,B-127,Prunus serotina
3874,B-127,Quercus macrocarpa
3875,B-127,Quercus rubra
3876,B-127,Tilia americana
3877,B-127,Tilia americana
3878,B-127,Tilia americana
3879,B-127,Ulmus americana
3880,B-127,Unidentified species
190,B-128,Campanula americana
191,B-128,Eupatorium rugosum
192,B-128,Galium triflorum
193,B-128,Geum canadense
194,B-128,Impatiens pallida
195,B-128,Oxalis stricta
196,B-128,Rubus allegheniensis
2833,B-128,Rubus allegheniensis
2834,B-128,Rubus occidentalis
3881,B-128,Fraxinus pennsylvanica subintegerrima
3882,B-128,NONE
3883,B-128,Ostrya virginiana
3884,B-128,Prunus serotina
3885,B-128,Quercus alba
3886,B-128,Quercus macrocarpa
3887,B-128,Tilia americana
197,B-138,Allium stellatum
198,B-138,Bromus inermis 
199,B-138,Chrysanthemum leucanthemum pinnatifidum
200,B-138,Convolvulus arvensis
201,B-138,Dactylis glomerata
202,B-138,Daucus carota
203,B-138,Parthenocissus quinquefolia
204,B-138,Poa pratensis
205,B-138,Potentilla recta 
206,B-138,Prunus serotina
207,B-138,Rhus glabra
2835,B-138,NONE
3888,B-138,NONE
208,BB-106,Agrimonia gryposepala 
209,BB-106,Dactylis glomerata 
210,BB-106,Fragaria virginiana 
211,BB-106,Geum canadense 
212,BB-106,Oxalis stricta 
213,BB-106,Poa pratensis 
214,BB-106,Prunus serotina 
215,BB-106,Rhus radicans 
216,BB-106,Ulmus americana 
2836,BB-106,Rhamnus cathartica 
2837,BB-106,Rosa multiflora
2838,BB-106,Ulmus americana   
3889,BB-106,NONE
217,BB-107,Aster lateriflorus
218,BB-107,Lonicera maackii
219,BB-107,Smilacina racemosa
220,BB-107,Solidago flexicaulis
2839,BB-107,Acer nigrum
2840,BB-107,Fraxinus pennsylvanica subintegerrima
2841,BB-107,Lonicera maackii
2842,BB-107,Lonicera tatarica
2843,BB-107,Rhamnus cathartica
2844,BB-107,Ulmus americana
3890,BB-107,Acer nigrum
3891,BB-107,Fraxinus americana
3892,BB-107,Fraxinus americana
3893,BB-107,Fraxinus pennsylvanica subintegerrima
3894,BB-107,Fraxinus pennsylvanica subintegerrima
3895,BB-107,Quercus alba
3896,BB-107,Quercus alba
326,BB-115,Alliaria petiolata
327,BB-115,Arisaema triphyllum
328,BB-115,Circaea lutetiana canadensis
329,BB-115,Impatiens pallida
330,BB-115,Pilea pumila
2874,BB-115,Ostrya virginiana
4035,BB-115,Acer nigrum
4036,BB-115,Acer nigrum
4037,BB-115,Ostrya virginiana
4038,BB-115,Prunus serotina
4039,BB-115,Quercus macrocarpa
4040,BB-115,Quercus rubra
4041,BB-115,Quercus rubra
4042,BB-115,Tilia americana
4043,BB-115,Tilia americana
4044,BB-115,Tilia americana
4045,BB-115,Tilia americana
4046,BB-115,Ulmus americana
4047,BB-115,Ulmus americana
4048,BB-115,Unidentified species
221,BB-116,Acer nigrum
222,BB-116,Alliaria petiolata
223,BB-116,Smilacina racemosa
224,BB-116,Solidago flexicaulis
2845,BB-116,Acer nigrum
2846,BB-116,Fraxinus pennsylvanica subintegerrima
2847,BB-116,Ostrya virginiana
3897,BB-116,Acer nigrum
3898,BB-116,Quercus alba
3899,BB-116,Quercus alba
3900,BB-116,Quercus rubra
3901,BB-116,Ulmus americana
225,BB-118,Circaea lutetiana canadensis
226,BB-118,Hydrophyllum virginianum
227,BB-118,Parthenocissus quinquefolia
228,BB-118,Rhus radicans
2848,BB-118,Acer nigrum
3902,BB-118,Acer nigrum
3903,BB-118,Fraxinus pennsylvanica subintegerrima
3904,BB-118,Ostrya virginiana
3905,BB-118,Quercus rubra
3906,BB-118,Quercus rubra
3907,BB-118,Ulmus rubra
229,BB-121,Acer nigrum
230,BB-121,Alliaria petiolata
231,BB-121,Asarum canadense
232,BB-121,Carex species
233,BB-121,Carex species
234,BB-121,Rhamnus cathartica
235,BB-121,Ribes species
2849,BB-121,Acer nigrum
3908,BB-121,Acer nigrum
3909,BB-121,Acer nigrum
3910,BB-121,Fraxinus americana
3911,BB-121,Fraxinus americana
3912,BB-121,Ostrya virginiana
3913,BB-121,Quercus rubra
3914,BB-121,Quercus rubra
3915,BB-121,Ulmus americana
3916,BB-121,Unidentified species
3917,BB-121,Unidentified species
236,BB-128,Boehmeria cylindrica
237,BB-128,Phalaris arundinacea
2850,BB-128,Acer saccharinum
3918,BB-128,Acer saccharinum
3919,BB-128,Acer saccharinum
3920,BB-128,Acer saccharinum
3921,BB-128,Ulmus americana
238,BB-140,NONE
2851,BB-140,Lonicera tatarica
3922,BB-140,Juglans nigra
3923,BB-140,Ulmus americana
3924,BB-140,Ulmus americana
3925,BB-140,Ulmus americana
3926,BB-140,Unidentified species
3927,BB-140,Unidentified species
3928,BB-140,Unidentified species
239,BB-141,Alliaria petiolata 
2852,BB-141,Lonicera tatarica
2853,BB-141,Prunus serotina
3929,BB-141,Prunus serotina
3930,BB-141,Prunus serotina
3931,BB-141,Prunus serotina
3932,BB-141,Prunus serotina
3933,BB-141,Prunus serotina
3934,BB-141,Rhamnus cathartica
3935,BB-141,Ulmus americana
3936,BB-141,Ulmus americana
3937,BB-141,Ulmus americana
3938,BB-141,Ulmus americana
3939,BB-141,Ulmus americana
240,BB-144,Alliaria petiolata 
241,BB-144,Rhamnus cathartica
2854,BB-144,Lonicera maackii
2855,BB-144,Rhamnus cathartica
3940,BB-144,Fraxinus americana
3941,BB-144,Fraxinus americana
3942,BB-144,Prunus serotina
3943,BB-144,Prunus serotina
3944,BB-144,Prunus serotina
3945,BB-144,Prunus serotina
3946,BB-144,Prunus serotina
3947,BB-144,Prunus serotina
3948,BB-144,Prunus serotina
3949,BB-144,Prunus serotina
3950,BB-144,Prunus serotina
3951,BB-144,Ulmus americana
3952,BB-144,Ulmus americana
3953,BB-144,Ulmus rubra
3954,BB-144,Ulmus rubra
3955,BB-144,Ulmus rubra
3956,BB-144,Ulmus rubra
242,BB-84,Alliaria petiolata 
