201,BB115,Apocynum cannabinum
202,BB115,Trifolium pratense
10,BB116,Acer saccharum
203,BB116,Dicentra cucullaria
204,BB116,Erythronium albidum
205,BB116,Claytonia virginica
206,BB116,Anemone quinquefolia
11,BB118,Acer saccharum
207,BB118,Floerkea proserpinacoides
12,BB121,Acer saccharum
208,BB121,Dicentra cucullaria
209,BB121,Clematis virginiana
210,BB121,Cardamine concatenata
211,BB121,Floerkea proserpinacoides
212,BB140,Ficaria verna
213,BB141,Torilis japonica
214,BB141,Arctium minus
215,BB141,Oxalis
216,BB84,Erythronium albidum
217,BB84,Circaea lutetiana
218,BB84,Claytonia virginica
219,BB92,Erythronium albidum
220,BB92,Claytonia virginica
221,C105,Helianthus grosseserratus
222,C105,Cirsium
223,C111,Helianthus species
96,C120,Quercus ellipsoidalis
97,C120,Quercus ellipsoidalis
224,C120,Erythronium albidum
225,C120,Osmorhiza
13,C123,Rubus pensilvanicus
226,C123,Erythronium albidum
227,C123,Cardamine concatenata
228,C123,Claytonia virginica
229,C125,Cardamine concatenata
230,C125,Erythronium albidum
231,C127,Cardamine concatenata
232,C127,Erythronium albidum
233,C127,Trillium recurvatum
234,C127,Sanicula gregaria
14,CC109,Acer saccharum
235,CC109,Composite
236,CC109,Elymus elymoides
237,CC109,Cerastium
238,CC110,Claytonia virginica
239,CC110,Elymus elymoides
240,CC110,Lactuca species
241,CC110,Galium circaezans
242,CC123,Erythronium albidum
243,CC123,Floerkea proserpinacoides
244,CC123,Claytonia virginica
245,CC138,Ficaria verna
246,CC138,Poa compressa
15,CC144,Morus
247,CC86,Claytonia virginica
248,CC86,Circaea lutetiana
249,CC86,Osmorhiza
250,CC96,Erythronium albidum
251,CC96,Phlox divaricata
252,CC96,Osmorhiza
253,CC96,Claytonia virginica
254,CC96,Trillium recurvatum
255,CC97,Claytonia virginica
256,CC97,Erythronium albidum
257,CC97,Osmorhiza
258,CC99,Quercus
259,CC99,Bidens species
260,D113,Menispermum
261,D113,Helianthus species
262,D113,Hydrophyllum
263,D117,Erythronium albidum
16,D123,Phellodendron amurense
264,D123,Floerkea proserpinacoides
265,D123,Elymus elymoides
266,D125,Erythronium albidum
267,D125,Cardamine concatenata
268,D125,Rubus hispidus
269,D134,Claytonia virginica
270,DD100,Floerkea proserpinacoides
271,DD100,Circaea lutetiana
272,DD112,Trillium recurvatum
273,DD112,Symphyotrichum
17,DD114,Acer saccharum
274,DD114,Erythronium albidum
18,DD130,Malus
275,DD130,Laportea canadensis
276,DD145,Cirsium
277,DD145,Bidens species
278,DD145,Trillium recurvatum
279,DD145,Morus
280,DD83,Claytonia virginica
281,DD83,Circaea lutetiana
282,DD86,Erythronium albidum
283,DD86,Celtis occidentalis
284,DD90,Claytonia virginica
285,DD90,Erythronium albidum
286,E109,Epilobium coloratum
287,E109,Floerkea proserpinacoides
288,E111,Scirpus atrovirens
19,EE106,Acer saccharum
289,EE108,Elymus elymoides
290,EE120,Floerkea proserpinacoides
291,EE120,Claytonia virginica
292,EE126,Floerkea proserpinacoides
293,EE126,Cryptotaenia canadensis
20,EE128,Acer saccharum
294,EE128,Floerkea proserpinacoides
295,EE128,Celtis occidentalis
296,EE132,Anemone canadensis
297,EE138,Malus sieboldii
298,EE138,Arisaema dracontium
21,EE140,Acer saccharum
98,F107,Quercus ellipsoidalis
99,F107,Quercus ellipsoidalis
299,F107,Erythronium albidum
300,F108,Erythronium albidum
301,F108,Floerkea proserpinacoides
302,F108,Sanicula gregaria
303,F112,Symphyotrichum
304,F113,Erythronium albidum
305,F114,Erythronium albidum
306,F114,Celastrus orbiculatus
307,F118,Erythronium albidum
308,F118,Claytonia virginica
309,F118,Agrimonia pubescens
310,F118,Floerkea proserpinacoides
311,F118,Sanicula gregaria
312,F119,Erythronium albidum
313,F119,Floerkea proserpinacoides
314,F119,Claytonia virginica
315,F122,Floerkea proserpinacoides
316,F122,Erythronium albidum
317,F122,Claytonia virginica
318,F129,Erythronium albidum
319,F129,Cardamine concatenata
22,F134,Acer saccharum
320,FF117,Floerkea proserpinacoides
321,FF117,Claytonia virginica
322,FF123,Floerkea proserpinacoides
323,FF123,Claytonia virginica
100,FF91,Liriodendron tulipifera
101,FF91,Liriodendron tulipifera
324,FF94,Claytonia virginica
325,FF94,Rudbeckia hirta
326,FF94,Equisetum arvense
102,G109,Quercus ellipsoidalis
327,G109,Erythronium albidum
328,G109,Anemone quinquefolia
329,G109,Osmorhiza
330,G109,Claytonia virginica
331,G126,Erythronium albidum
332,G126,Cardamine concatenata
333,G126,Viola sororia
334,G126,Claytonia virginica
335,G126,Agrimonia pubescens
336,G126,Erythronium albidum
337,G126,Cardamine concatenata
338,G126,Viola sororia
339,G126,Claytonia virginica
340,G126,Agrimonia pubescens
341,G132,Erythronium albidum
342,G132,Trillium recurvatum
343,G137,Trifolium pratense
344,G137,Symphyotrichum
23,GG121,Acer saccharum
24,GG121,Acer saccharum
345,GG121,Claytonia virginica
346,GG121,Cardamine concatenata
347,GG121,Floerkea proserpinacoides
348,GG121,Circaea lutetiana
349,GG122,Floerkea proserpinacoides
350,GG122,Claytonia virginica
351,GG122,Cardamine concatenata
352,GG140,Erythronium albidum
353,GG140,Trillium recurvatum
354,GG140,Floerkea proserpinacoides
25,GG92,Acer saccharum
355,GG92,Sanicula
356,GG92,Cerastium
357,GG92,Claytonia virginica
358,GG94,Anemone quinquefolia
