,Original_name,Accepted_name,
345,Populus grandidentata,Populus grandidentata,
346,Populus species,Populus,
347,Potentilla norvegica,Potentilla norvegica,
348,Potentilla recta,Potentilla recta,
349,Potentilla simplex,Potentilla simplex,
350,Prenanthes alba,Nabalus albus,
351,Prenanthes species,,Prenanthes species
352,Prunella vulgaris,Prunella vulgaris,
353,Prunella vulgaris lanceolata,Prunella vulgaris subsp. lanceolata,
354,Prunus americana,Prunus americana,
355,Prunus serotina,Prunus serotina,
356,Prunus species,Prunus,
357,Prunus virginiana,Prunus virginiana,
358,Pruser serotina,,Pruser serotina
359,Pseudotsuga menziesii,Pseudotsuga menziesii,
360,Ptelea trifoliata,Ptelea trifoliata,
361,Quercuas alba,Quercus alba,
362,Quercus alb,Quercus alba,
363,Quercus alba,Quercus alba,
364,Quercus bicolor,Quercus bicolor,
365,Quercus coccinea,Quercus coccinea,
366,Quercus ellipsoidalis,Quercus ellipsoidalis,
367,Quercus macrocarpa,Quercus macrocarpa,
368,Quercus palustris,Quercus palustris,
369,Quercus rubra,Quercus rubra,
370,Quercus sp.,Quercus,
371,Quercus species,Quercus,
372,Ranunculus abortivus,Ranunculus abortivus,
373,Ranunculus ficaria,Ficaria verna,
374,Ranunculus hispidus,Ranunculus hispidus,
375,Ranunculus hispidus v. nitidus,Ranunculus hispidus,
376,Ranunculus pensylvanicus,Ranunculus pensylvanicus,
377,Ranunculus septentrionalis,Ranunculus septentrionalis,
378,Ranunculus sp.,Ranunculus,
379,Ranunculus species,Ranunculus,
380,Ratibida pinnata,Ratibida pinnata,
381,Rhamnus carthartica,Rhamnus cathartica,
382,Rhamnus cathartica,Rhamnus cathartica,
383,Rhamnus frangula,Frangula alnus,
384,Rhamnus species,Rhamnus,
385,Rhus glabra,Rhus glabra,
386,Rhus radicans,Toxicodendron radicans,
387,Rhus typhina,Rhus typhina,
388,Ribes missouriense,Ribes missouriense,
389,Ribes sp.,Ribes,
390,Ribes species,Ribes,
391,Robinia pseudoacacia,Robinia pseudoacacia,
392,Robinia pseudocacia,Robinia pseudoacacia,
393,Rosa carolina,Rosa carolina,
394,Rosa multiflora,Rosa multiflora,
395,Rosa sp.,Rosa,
396,Rosa species,Rosa,
397,rttf,Ruta,
398,Rubes idaeus strigosus,Rubus idaeus subsp. strigosus,
399,Rubus allegheniensis,Rubus allegheniensis,
400,Rubus hispidus,Rubus hispidus,
401,Rubus idaeus strigosus,Rubus idaeus subsp. strigosus,
402,Rubus occidentalis,Rubus occidentalis,
403,Rubus pensilvanicus,Rubus pensilvanicus,
404,Rubus sp.,Rubus,
405,Rubus species,Rubus,
406,Rudbeckia hirta,Rudbeckia hirta,
407,Rumex crispus,Rumex crispus,
408,Rumex orbiculatus,Rumex britannica,
409,Rumex sp.,Rumex,
410,Salix interior,Salix interior,
411,Salix nigra,Salix nigra,
412,Salix sp.,Salix,
413,Sambucus canadensis,Sambucus canadensis,
414,Sanguinaria canadensis,Sanguinaria canadensis,
415,Sanicula gregaria,Sanicula gregaria,
416,Sanicula sp.,Sanicula,
417,Schizachyrium scoparium,Schizachyrium scoparium,
418,Scirpus atrovirens,Scirpus atrovirens,
419,Scirpus species,Scirpus,
420,Scrophularia species,Scrophularia,
421,Scutellaria lateriflora,Scutellaria lateriflora,
422,Sedge species,Sedum,
423,Seedling,,
424,Seedlings,,
425,Setaria species,Setaria,
426,Shrub species,,
427,Silphium integrifolium,Silphium integrifolium,
428,Silphium laciniatum,Silphium laciniatum,
429,Sium suave,Sium suave,
430,Smilacina racemosa,Maianthemum racemosum,
431,Smilacina species,,Smilacina species
432,Smilax illinoensis,Smilax illinoensis,
433,Smilax lasioneura,Smilax lasioneura,
434,Smilax sp.,Smilax,
435,Smilax species,Smilax,
436,Smilax tamnoides hispida,Smilax tamnoides,
437,Solanum dulcamara,Solanum dulcamara,
