"","Original_name","Accepted_name"
"163","Hydrophyllum appendiculatum","Hydrophyllum appendiculatum"
"164","Hydrophyllum sp.","Hydrophyllum"
"165","Hydrophyllum virginianum","Hydrophyllum virginianum"
"166","Hystrix patula","Hystrix patula"
"167","Impatiens capensis","Impatiens capensis"
"168","Impatiens sp.","Impatiens"
"169","Impatients sp.","Impatiens"
"170","Juglans nigra","Juglans nigra"
"171","Juncus sp.","Juncus"
"172","Juniperus virginiana","Juniperus virginiana"
"173","Lactuca canadensis","Lactuca canadensis"
"174","Lactuca sp.",""
"175","Laportea canadensis","Laportea canadensis"
"176","Ligusticum sp.","Ligusticum"
"177","Liriodendron tulipifera","Liriodendron tulipifera"
"178","lonicera maackii","Lonicera maackii"
"179","Lonicera maackii","Lonicera maackii"
"180","Lonicera prolifera","Lonicera prolifera"
"181","Lonicera sp.","Lonicera"
"182","Lonicera tatarica","Lonicera tatarica"
"183","Lysimachia ciliata","Lysimachia ciliata"
"184","Lythrum alatum","Lythrum alatum"
"185","Maianthemum racemosum","Maianthemum racemosum"
"186","MAIRAC","Marah"
"187","Malus sieboldii","Malus sieboldii"
"188","Malus sp.","Malus"
"189","Menispermum canadense","Menispermum canadense"
"190","Menispermum sp.","Menispermum"
"191","Mertensia virginica","Mertensia virginica"
"192","Monarda fistulosa","Monarda fistulosa"
"193","Morus alba","Morus alba"
"194","Morus sp.","Morus"
"195","No data",""
"196","No trees",""
"197","No Trees",""
"198","Onoclea sensibilis","Onoclea sensibilis"
"199","Osm. Sp.","Osa"
"200","Osmorhiza claytoniana","Osmorhiza"
"201","Osmorhiza claytonii","Osmorhiza aristata var. aristata"
"202","Osmorhiza sp.","Osmorhiza"
"203","Ostrya virginiana","Ostrya virginiana"
"204","Oxalis sp.","Oxalis"
"205","Oxalis stricta","Oxalis stricta"
"206","Parthenocissus quinquefolia","Parthenocissus quinquefolia"
"207","Parthenocissus sp.","Parthenocissus"
"208","Pastinaca sativa","Pastinaca sativa"
"209","Persicaria coccinea","Persicaria amphibia"
"210","Phalaris arundinacea","Phalaris arundinacea"
"211","Phellodendron amurense","Phellodendron amurense"
"212","Phlox divaricata","Phlox divaricata"
"213","PHRCAN","Phaca"
"214","Phryma leptostachya","Phryma leptostachya"
"215","Phytolacca americana","Phytolacca americana"
"216","Picea abies","Picea abies"
"217","Pilea pumila","Pilea pumila"
"218","Pinus resinosa","Pinus resinosa"
"219","Pinus sp.","Pinus"
"220","Plantago lanceolata","Plantago lanceolata"
"221","Poa compressa","Poa compressa"
"222","Poa pratensis","Poa pratensis"
"223","Poa sp.","Poa"
"224","Podophyllum peltatum","Podophyllum peltatum"
"225","POLBIF","Pollia"
"226","Polemonium reptans","Polemonium reptans"
"227","Polgonatum biflorum","Polygonatum biflorum"
"228","Polygonatum biflorum","Polygonatum biflorum"
"229","Polygonum biflorum","Polygonatum biflorum"
"230","Polygonum scandens","Fallopia scandens"
"231","Polygonum sp.","Polygonum"
"232","Polygonum virginianum","Polygonum virginianum"
"233","Polygonum. Sp.","Polygonum"
"234","Populus deltoides","Populus deltoides"
"235","Populus grandidentata","Populus grandidentata"
"236","Potentilla recta","Potentilla recta"
"237","Potentilla simplex","Potentilla simplex"
"238","Prenanthes alba","Nabalus albus"
"239","Prunella vulgaris","Prunella vulgaris"
"240","Prunus americana","Prunus americana"
"241","Prunus serotina","Prunus serotina"
"242","Prunus virginiana","Prunus virginiana"
"243","Pruser serotina",""
"244","Ptelea trifoliata","Ptelea trifoliata"
"245","Quercuas alba","Quercus alba"
"246","Quercus alb","Quercus alba"
"247","Quercus alba","Quercus alba"
"248","Quercus ellipsoidalis","Quercus ellipsoidalis"
"249","Quercus macrocarpa","Quercus macrocarpa"
"250","Quercus rubra","Quercus rubra"
"251","Quercus sp.","Quercus"
"252","Ranunculus abortivus","Ranunculus abortivus"
